Region,Altitude,Mois,Saison,SOC,Clay,Nitrogen,CEC,Temp,Hum,pH,Lux,CE,Crop
Alaotra-Mangoro,856.0,6,1,16.6,25.9,13.3,14.3,32.9,83.0,5.5,52923.0,695.0,Riz_Decrue
Itasy,1049.0,12,0,28.4,33.2,25.5,14.3,16.0,49.9,6.2,41943.0,620.0,Arachide
Atsinanana,78.0,11,0,60.7,39.8,32.2,16.4,29.8,76.7,5.5,58160.0,567.0,Ananas
Menabe,239.0,11,0,23.9,28.2,16.9,14.4,36.1,41.0,7.2,58819.0,488.0,Mangue
Atsinanana,59.0,12,0,60.7,39.8,32.2,16.4,24.8,72.7,5.6,62402.0,843.0,Litchi
Amoron'i Mania,1641.0,6,1,31.1,27.9,19.6,13.9,16.6,80.8,5.7,41892.0,1327.0,Pomme_de_Terre
Alaotra-Mangoro,991.0,6,1,16.6,25.9,13.3,14.3,19.4,58.8,7.4,31030.0,301.0,Haricot_CS
Melaky,199.0,1,0,26.0,23.7,21.3,15.3,20.7,51.4,6.2,60050.0,1633.0,Maïs
Menabe,126.0,6,1,23.9,28.2,16.9,14.4,28.1,92.6,5.4,43885.0,998.0,Riz_Decrue
Alaotra-Mangoro,1017.0,6,1,16.6,25.9,13.3,14.3,21.8,64.4,7.3,32417.0,736.0,Haricot_CS
Analamanga,1409.0,5,1,23.4,27.6,19.5,16.3,18.3,63.8,5.6,60870.0,1351.0,Tomate
Bongolava,1292.0,10,1,24.5,32.2,18.9,13.2,21.8,70.0,4.7,62520.0,628.0,Ananas
Diana,289.0,1,0,30.8,26.1,20.5,24.4,31.2,68.7,6.9,53589.0,486.0,Arachide
SAVA,63.0,10,1,64.8,36.6,48.0,20.9,28.8,81.6,5.1,67977.0,819.0,Ananas
Analamanga,1319.0,11,0,23.4,27.6,19.5,16.3,29.9,78.6,6.3,62261.0,477.0,Riz_Plateau
Ihorombe,648.0,1,0,15.9,28.1,12.1,17.6,28.5,69.5,5.5,39216.0,911.0,Arachide
Analanjirofo,50.0,12,0,54.8,35.0,29.5,18.5,26.5,75.5,5.2,51749.0,505.0,Litchi
Sofia,386.0,12,0,24.8,23.3,16.4,10.2,29.3,51.9,6.6,54619.0,1816.0,Sorgho
Anosy,484.0,6,1,19.2,22.4,16.0,15.2,29.1,40.9,5.5,57090.0,1750.0,Sorgho_CS
Atsinanana,329.0,11,0,60.7,39.8,32.2,16.4,26.5,71.5,4.6,59404.0,495.0,Ananas
SAVA,105.0,12,0,64.8,36.6,48.0,20.9,21.1,73.7,5.7,49959.0,475.0,Litchi
Analamanga,1111.0,7,1,23.4,27.6,19.5,16.3,23.9,63.9,6.1,45087.0,1973.0,Tomate
Vakinankaratra,1562.0,5,1,36.1,33.3,28.2,15.2,22.2,67.8,5.6,42852.0,847.0,Tomate
Menabe,8.0,12,0,23.9,28.2,16.9,14.4,22.3,79.0,5.8,51603.0,658.0,Riz_Plateau
